동명,설치주소,위치,위도,경도,흡연구역
신사동,압구정로14길 6(신사동 548-4),코다차야 남동쪽(가게 앞),37.5238846,127.023012,N
신사동,강남대로152길 14(신사동 513-2),FLASH BAR 동쪽(전신주),37.5171456,127.020657,N
신사동,강남대로152길 29(신사동 515-12),인사동촌 남쪽(가게 앞),37.5178932,127.021698,N
신사동,강남대로152길 34(신사동 514-8),고향역(전신주),37.517767,127.022083,N
논현1동,학동로2길 11 (취영루) 맞은편,영풍빌딩 주차장 옆,37.5105499,127.022624,N
논현1동,학동로2길 19,GS25 앞,37.5101534,127.022974,N
논현1동,학동로2길 47 맞은편,공사장 담장,37.5085946,127.023551,N
논현1동,봉은사로1길 35 맞은편,원할머니보쌈 좌측,37.5069997,127.024025,N
논현1동,봉은사로1길 32,김봉남포차 앞(상호변경),37.5068104,127.024466,N
논현1동,봉은사로1길 16 ,노랑통닭 앞,37.5058012,127.024839,N
논현1동,봉은사로1길 16 (청평갈비) 앞,주차장 앞,37.5058012,127.024839,N
논현1동,학동로2길 47 맞은편,공사장 부근,37.5085946,127.023551,N
논현1동,학동로2길 13 (강남설렁탕) 맞은편,자생한방병원주차장 앞,37.5104417,127.022839,N
논현2동,논현동 98-6 앞,육일점 앞,37.5104417,127.022839,N
논현2동,논현동 97-20 앞,청담소 앞,37.5205751,127.03516,N
논현2동,논현동 97-18 앞,자연석 돌구이 앞,37.5206291,127.035319,N
논현2동,논현동 97-17 앞,홍대찜닭 앞,37.5207011,127.035454,N
논현2동,논현동 98-12 앞,한아름 한정식 앞,37.5206108,127.036144,N
논현2동,논현동 98-12 앞,바른스시전문점 앞,37.5206108,127.036144,N
논현2동,논현동 105-12 앞,브라보 PBA SQURE 앞,37.5208268,127.037072,N
압구정동,압구정로36길 8,라곱창~풀바셋(음식물수거통 옆) ,37.5279733,127.031283,N
삼성1동,삼성로100길 24,가게앞 모퉁이,37.5098628,127.057267,N
삼성1동,테헤란로81길 46,가게앞 모퉁이,37.5097642,127.056249,N
삼성1동,테헤란로83길 12,제일주차장앞 보도상,37.5081326,127.057956,N
삼성1동,삼성로92길 28,도로 모퉁이,37.5080692,127.0586,N
삼성1동,삼성로96길 15,오징어세상가게 옆골목도로변,37.5091332,127.056973,N
삼성1동,삼성로104길 22,주소지앞 모퉁이 보도상,37.5110706,127.056476,N
삼성1동,봉은사로82길 32,주소지 앞 보도상,37.5110891,127.055311,N
삼성1동,삼성로104길 17,주소지 앞 보도상,37.5111519,127.055956,N
삼성1동,삼성로104길 28,주소지 앞 보도상,37.5112235,127.056952,N
대치4동, 테헤란로64길 14 (대치4동 889-56),더 나인 오피스텔 앞 전신주 옆,37.5040632,127.051099,N
대치4동, 테헤란로64길 19 (대치4동  890-57),전신주 옆 코너,37.5037295,127.051687,N
대치4동, 선릉로86길 34 (대치4동 896-25),896-25 건너편코너,37.5037382,127.052547,N
대치4동, 삼성로85길 42 (대치4동 891-27),대우아이빌멤버스1층 선릉미래공인중개사무소 앞,37.5046206,127.053735,N
대치4동, 선릉로90길 56 (대치4동 891-24),대우아이빌명문가앞 담장,37.5050352,127.053407,N
대치4동, 삼성로85길 33 (대치4동 894)),카페디퍼 포스코점커피숍 앞,37.5043679,127.054718,N
대치4동,선릉로90길 56(대치4동 891-24),대우아이빌명문가앞 담장,37.5050352,127.053407,N
역삼1동,강남대로468,충림빌딩 뒤,37.5041614,127.025008,N
역삼1동,강남대로438,CGV 앞,37.5016383,127.026353,N
